Title,Abstract,Authors,Last Author,Published Date
"End-to-end Hyperspectral Image Change Detection Network Based on Band
  Selection","  For hyperspectral image change detection (HSI-CD), one key challenge is to
reduce band redundancy, as only a few bands are crucial for change detection
while other bands may be adverse to it. However, most existing HSI-CD methods
directly extract change feature from full-dimensional HSIs, suffering from a
degradation of feature discrimination. To address this issue, we propose an
end-to-end hyperspectral image change detection network with band selection
(ECDBS), which effectively retains the critical bands to promote change
detection. The main ingredients of the network are a deep learning based band
selection module and cascading band-specific spatial attention (BSA) blocks.
The band selection module can be seamlessly integrated with subsequent CD
models for joint optimization and end-to-end reasoning, rather than as a step
separate from change detection. The BSA block extracts features from each band
using a tailored strategy. Unlike the typically used feature extraction
strategy that uniformly processes all bands, the BSA blocks considers the
differences in feature distributions among widely spaced bands, thereupon
extracting more sufficient change feature. Experimental evaluations conducted
on three widely used HSI-CD datasets demonstrate the effectiveness and
superiority of our proposed method over other state-of-the-art techniques.
","Qingren Yao, Yuan Zhou, Chang Tang, Wei Xiang",Wei Xiang,2023-07-23T13:50:41Z
"ESSAformer: Efficient Transformer for Hyperspectral Image
  Super-resolution","  Single hyperspectral image super-resolution (single-HSI-SR) aims to restore a
high-resolution hyperspectral image from a low-resolution observation. However,
the prevailing CNN-based approaches have shown limitations in building
long-range dependencies and capturing interaction information between spectral
features. This results in inadequate utilization of spectral information and
artifacts after upsampling. To address this issue, we propose ESSAformer, an
ESSA attention-embedded Transformer network for single-HSI-SR with an iterative
refining structure. Specifically, we first introduce a robust and
spectral-friendly similarity metric, \ie, the spectral correlation coefficient
of the spectrum (SCC), to replace the original attention matrix and
incorporates inductive biases into the model to facilitate training. Built upon
it, we further utilize the kernelizable attention technique with theoretical
support to form a novel efficient SCC-kernel-based self-attention (ESSA) and
reduce attention computation to linear complexity. ESSA enlarges the receptive
field for features after upsampling without bringing much computation and
allows the model to effectively utilize spatial-spectral information from
different scales, resulting in the generation of more natural high-resolution
images. Without the need for pretraining on large-scale datasets, our
experiments demonstrate ESSA's effectiveness in both visual quality and
quantitative results.
","Mingjin Zhang, Chi Zhang, Qiming Zhang, Jie Guo, Xinbo Gao, Jing Zhang",Jing Zhang,2023-07-26T07:45:14Z
"Absorption-Based, Passive Range Imaging from Hyperspectral Thermal
  Measurements","  Passive hyperspectral long-wave infrared measurements are remarkably
informative about the surroundings, such as remote object material composition,
temperature, and range; and air temperature and gas concentrations. Remote
object material and temperature determine the spectrum of thermal radiance, and
range, air temperature, and gas concentrations determine how this spectrum is
modified by propagation to the sensor. We computationally separate these
phenomena, introducing a novel passive range imaging method based on
atmospheric absorption of ambient thermal radiance. Previously demonstrated
passive absorption-based ranging methods assume hot and highly emitting
objects. However, the temperature variation in natural scenes is usually low,
making range imaging challenging. Our method benefits from explicit
consideration of air emission and parametric modeling of atmospheric
absorption. To mitigate noise in low-contrast scenarios, we jointly estimate
range and intrinsic object properties by exploiting a variety of absorption
lines spread over the infrared spectrum. Along with Monte Carlo simulations
that demonstrate the importance of regularization, temperature differentials,
and availability of many spectral bands, we apply this method to long-wave
infrared (8--13 $\mu$m) hyperspectral image data acquired from natural scenes
with no active illumination. Range features from 15m to 150m are recovered,
with good qualitative match to unaligned lidar data.
","Unay Dorken Gallastegi, Hoover Rueda-Chacon, Martin J. Stevens, Vivek K Goyal",Vivek K Goyal,2023-08-10T18:35:22Z
"Systematic reduction of Hyperspectral Images for high-throughput Plastic
  Characterization","  Hyperspectral Imaging (HSI) combines microscopy and spectroscopy to assess
the spatial distribution of spectroscopically active compounds in objects, and
has diverse applications in food quality control, pharmaceutical processes, and
waste sorting. However, due to the large size of HSI datasets, it can be
challenging to analyze and store them within a reasonable digital
infrastructure, especially in waste sorting where speed and data storage
resources are limited. Additionally, as with most spectroscopic data, there is
significant redundancy, making pixel and variable selection crucial for
retaining chemical information. Recent high-tech developments in chemometrics
enable automated and evidence-based data reduction, which can substantially
enhance the speed and performance of Non-Negative Matrix Factorization (NMF), a
widely used algorithm for chemical resolution of HSI data. By recovering the
pure contribution maps and spectral profiles of distributed compounds, NMF can
provide evidence-based sorting decisions for efficient waste management. To
improve the quality and efficiency of data analysis on hyperspectral imaging
(HSI) data, we apply a convex-hull method to select essential pixels and
wavelengths and remove uninformative and redundant information. This process
minimizes computational strain and effectively eliminates highly mixed pixels.
By reducing data redundancy, data investigation and analysis become more
straightforward, as demonstrated in both simulated and real HSI data for
plastic sorting.
","Mahdiyeh Ghaffari, Mickey C. J. Lukkien, Nematollah Omidikia, Gerjen H. Tinnevelt, Marcel C. P. van Eijk, Jeroen J. Jansen",Jeroen J. Jansen,2023-08-28T11:38:08Z
Domain Adaptation for Satellite-Borne Hyperspectral Cloud Detection,"  The advent of satellite-borne machine learning hardware accelerators has
enabled the on-board processing of payload data using machine learning
techniques such as convolutional neural networks (CNN). A notable example is
using a CNN to detect the presence of clouds in hyperspectral data captured on
Earth observation (EO) missions, whereby only clear sky data is downlinked to
conserve bandwidth. However, prior to deployment, new missions that employ new
sensors will not have enough representative datasets to train a CNN model,
while a model trained solely on data from previous missions will underperform
when deployed to process the data on the new missions. This underperformance
stems from the domain gap, i.e., differences in the underlying distributions of
the data generated by the different sensors in previous and future missions. In
this paper, we address the domain gap problem in the context of on-board
hyperspectral cloud detection. Our main contributions lie in formulating new
domain adaptation tasks that are motivated by a concrete EO mission, developing
a novel algorithm for bandwidth-efficient supervised domain adaptation, and
demonstrating test-time adaptation algorithms on space deployable neural
network accelerators. Our contributions enable minimal data transmission to be
invoked (e.g., only 1% of the weights in ResNet50) to achieve domain
adaptation, thereby allowing more sophisticated CNN models to be deployed and
updated on satellites without being hampered by domain gap and bandwidth
limitations.
","Andrew Du, Anh-Dzung Doan, Yee Wei Law, Tat-Jun Chin",Tat-Jun Chin,2023-09-05T11:43:18Z
"A Multisensor Hyperspectral Benchmark Dataset For Unmixing of Intimate
  Mixtures","  Optical hyperspectral cameras capture the spectral reflectance of materials.
Since many materials behave as heterogeneous intimate mixtures with which each
photon interacts differently, the relationship between spectral reflectance and
material composition is very complex. Quantitative validation of spectral
unmixing algorithms requires high-quality ground truth fractional abundance
data, which are very difficult to obtain. In this work, we generated a
comprehensive laboratory ground truth dataset of intimately mixed mineral
powders. For this, five clay powders (Kaolin, Roof clay, Red clay, mixed clay,
and Calcium hydroxide) were mixed homogeneously to prepare 325 samples of 60
binary, 150 ternary, 100 quaternary, and 15 quinary mixtures. Thirteen
different hyperspectral sensors have been used to acquire the reflectance
spectra of these mixtures in the visible, near, short, mid, and long-wavelength
infrared regions (350-15385) nm. {\color{black} Overlaps in wavelength regions
due to the operational ranges of each sensor} and variations in acquisition
conditions {\color{black} resulted in} a large amount of spectral variability.
Ground truth composition is given by construction, but to verify that the
generated samples are sufficiently homogeneous, XRD and XRF elemental analysis
is performed. We believe these data will be beneficial for validating advanced
methods for nonlinear unmixing and material composition estimation, including
studying spectral variability and training supervised unmixing approaches. The
datasets can be downloaded from the following link:
https://github.com/VisionlabUA/Multisensor_datasets.
","Bikram Koirala, Behnood Rasti, Zakaria Bnoulkacem, Andrea de Lima Ribeiro, Yuleika Madriz, Erik Herrmann, Arthur Gestels, Thomas De Kerf, Sandra Lorenz, Margret Fuchs, Koen Janssens, Gunther Steenackers, Richard Gloaguen, Paul Scheunders",Paul Scheunders,2023-08-30T11:48:36Z
"Mono/Multi-material Characterization Using Hyperspectral Images and
  Multi-Block Non-Negative Matrix Factorization","  Plastic sorting is a very essential step in waste management, especially due
to the presence of multilayer plastics. These monomaterial and multimaterial
plastics are widely employed to enhance the functional properties of packaging,
combining beneficial properties in thickness, mechanical strength, and heat
tolerance. However, materials containing multiple polymer species need to be
pretreated before they can be recycled as monomaterials and therefore should
not end up in monomaterial streams. Industry 4.0 has significantly improved
materials sorting of plastic packaging in speed and accuracy compared to manual
sorting, specifically through Near Infrared Hyperspectral Imaging (NIRHSI) that
provides an automated, fast, and accurate material characterization, without
sample preparation. Identification of multimaterials with HSI however requires
novel dedicated approaches for chemical pattern recognition. Non negative
Matrix Factorization, NMF, is widely used for the chemical resolution of
hyperspectral images. Chemically relevant model constraints may make it
specifically valuable to identify multilayer plastics through HSI.
Specifically, Multi Block Non Negative Matrix Factorization (MBNMF) with
correspondence among different chemical species constraint may be used to
evaluate the presence or absence of particular polymer species. To translate
the MBNMF model into an evidence based sorting decision, we extended the model
with an F test to distinguish between monomaterial and multimaterial objects.
The benefits of our new approach, MBNMF, were illustrated by the identification
of several plastic waste objects.
","Mahdiyeh Ghaffari, Gerjen H. Tinnevelt, Marcel C. P. van Eijk, Stanislav Podchezertsev, Geert J. Postma, Jeroen J. Jansen",Jeroen J. Jansen,2023-08-15T10:00:53Z
"One-dimensional convolutional neural network model for breast cancer
  subtypes classification and biochemical content evaluation using micro-FTIR
  hyperspectral images","  Breast cancer treatment still remains a challenge, where molecular subtypes
classification plays a crucial role in selecting appropriate and specific
therapy. The four subtypes are Luminal A (LA), Luminal B (LB), HER2 subtype,
and Triple-Negative Breast Cancer (TNBC). Immunohistochemistry is the
gold-standard evaluation, although interobserver variations are reported and
molecular signatures identification is time-consuming. Fourier transform
infrared micro-spectroscopy with machine learning approaches have been used to
evaluate cancer samples, presenting biochemical-related explainability.
However, this explainability is harder when using deep learning. This study
created a 1D deep learning tool for breast cancer subtype evaluation and
biochemical contribution. Sixty hyperspectral images were acquired from a human
breast cancer microarray. K-Means clustering was applied to select tissue and
paraffin spectra. CaReNet-V1, a novel 1D convolutional neural network, was
developed to classify breast cancer (CA) and adjacent tissue (AT), and
molecular subtypes. A 1D adaptation of Grad-CAM was applied to assess the
biochemical impact to the classifications. CaReNet-V1 effectively classified CA
and AT (test accuracy of 0.89), as well as HER2 and TNBC subtypes (0.83 and
0.86), with greater difficulty for LA and LB (0.74 and 0.68). The model enabled
the evaluation of the most contributing wavenumbers to the predictions,
providing a direct relationship with the biochemical content. Therefore,
CaReNet-V1 and hyperspectral images is a potential approach for breast cancer
biopsies assessment, providing additional information to the pathology report.
Biochemical content impact feature may be used for other studies, such as
treatment efficacy evaluation and development new diagnostics and therapeutic
methods.
","Matheus del-Valle, Emerson Soares Bernardes, Denise Maria Zezell",Denise Maria Zezell,2023-10-23T16:58:34Z
"Towards Machine Learning-based Quantitative Hyperspectral Image Guidance
  for Brain Tumor Resection","  Complete resection of malignant gliomas is hampered by the difficulty in
distinguishing tumor cells at the infiltration zone. Fluorescence guidance with
5-ALA assists in reaching this goal. Using hyperspectral imaging, previous work
characterized five fluorophores' emission spectra in most human brain tumors.
In this paper, the effectiveness of these five spectra was explored for
different tumor and tissue classification tasks in 184 patients (891
hyperspectral measurements) harboring low- (n=30) and high-grade gliomas
(n=115), non-glial primary brain tumors (n=19), radiation necrosis (n=2),
miscellaneous (n=10) and metastases (n=8). Four machine learning models were
trained to classify tumor type, grade, glioma margins and IDH mutation. Using
random forests and multi-layer perceptrons, the classifiers achieved average
test accuracies of 84-87%, 96%, 86%, and 93% respectively. All five fluorophore
abundances varied between tumor margin types and tumor grades (p < 0.01). For
tissue type, at least four of the five fluorophore abundances were found to be
significantly different (p < 0.01) between all classes. These results
demonstrate the fluorophores' differing abundances in different tissue classes,
as well as the value of the five fluorophores as potential optical biomarkers,
opening new opportunities for intraoperative classification systems in
fluorescence-guided neurosurgery.
","David Black, Declan Byrne, Anna Walke, Sidong Liu, Antonio Di leva, Sadahiro Kaneko, Walter Stummer, Septimiu Salcudean, Eric Suero Molina",Eric Suero Molina,2023-11-17T04:15:27Z
"Broadband dual-comb hyperspectral imaging and adaptable spectroscopy
  with programmable frequency combs","  We explore the advantages of a free-form dual-comb spectroscopy (DCS)
platform based on time-programmable frequency combs for real-time, penalty-free
apodized scanning. In traditional DCS, the fundamental spectral resolution,
which equals the comb repetition rate, can be excessively fine for many
applications. While the fine resolution is not itself problematic, it comes
with the penalty of excess acquisition time. Post-processing apodization
(windowing) can be applied to tailor the resolution to the sample, but only
with a deadtime penalty proportional to the degree of apodization. The excess
acquisition time remains. With free-form DCS, this deadtime is avoided by
programming a real-time apodization pattern that dynamically reverses the pulse
periods between the dual frequency combs. In this way, one can tailor the
spectrometer's resolution and update rate to different applications without
penalty. We show operation of a free-form DCS system where the spectral
resolution is varied from the intrinsic fine resolution of 160 MHz up to 822
GHz by applying tailored real-time apodization. Because there is no deadtime
penalty, the spectral signal-to-noise ratio increases linearly with resolution
by 5000x over this range, as opposed to the square root increase observed for
postprocessing apodization in traditional DCS. We explore the flexibility to
change resolution and update rate to perform hyperspectral imaging at slow
camera frame rates, where the penalty-free apodization allows for optimal use
of each frame. We obtain dual-comb hyperspectral movies at a 20 Hz spectrum
update rate with broad optical spectral coverage of over 10 THz.
","Fabrizio R. Giorgetta, Jean-Daniel Deschênes, Richard L. Lieber, Ian Coddington, Nathan R. Newbury, Esther Baumann",Esther Baumann,2023-11-17T16:31:42Z
"Spectrum-driven Mixed-frequency Network for Hyperspectral Salient Object
  Detection","  Hyperspectral salient object detection (HSOD) aims to detect spectrally
salient objects in hyperspectral images (HSIs). However, existing methods
inadequately utilize spectral information by either converting HSIs into
false-color images or converging neural networks with clustering. We propose a
novel approach that fully leverages the spectral characteristics by extracting
two distinct frequency components from the spectrum: low-frequency Spectral
Saliency and high-frequency Spectral Edge. The Spectral Saliency approximates
the region of salient objects, while the Spectral Edge captures edge
information of salient objects. These two complementary components, crucial for
HSOD, are derived by computing from the inter-layer spectral angular distance
of the Gaussian pyramid and the intra-neighborhood spectral angular gradients,
respectively. To effectively utilize this dual-frequency information, we
introduce a novel lightweight Spectrum-driven Mixed-frequency Network (SMN).
SMN incorporates two parameter-free plug-and-play operators, namely Spectral
Saliency Generator and Spectral Edge Operator, to extract the Spectral Saliency
and Spectral Edge components from the input HSI independently. Subsequently,
the Mixed-frequency Attention module, comprised of two frequency-dependent
heads, intelligently combines the embedded features of edge and saliency
information, resulting in a mixed-frequency feature representation.
Furthermore, a saliency-edge-aware decoder progressively scales up the
mixed-frequency feature while preserving rich detail and saliency information
for accurate salient object prediction. Extensive experiments conducted on the
HS-SOD benchmark and our custom dataset HSOD-BIT demonstrate that our SMN
outperforms state-of-the-art methods regarding HSOD performance. Code and
dataset will be available at https://github.com/laprf/SMN.
","Peifu Liu, Tingfa Xu, Huan Chen, Shiyun Zhou, Haolin Qin, Jianan Li",Jianan Li,2023-12-02T08:05:45Z
"Exploring Hyperspectral Anomaly Detection with Human Vision: A Small
  Target Aware Detector","  Hyperspectral anomaly detection (HAD) aims to localize pixel points whose
spectral features differ from the background. HAD is essential in scenarios of
unknown or camouflaged target features, such as water quality monitoring, crop
growth monitoring and camouflaged target detection, where prior information of
targets is difficult to obtain. Existing HAD methods aim to objectively detect
and distinguish background and anomalous spectra, which can be achieved almost
effortlessly by human perception. However, the underlying processes of human
visual perception are thought to be quite complex. In this paper, we analyze
hyperspectral image (HSI) features under human visual perception, and transfer
the solution process of HAD to the more robust feature space for the first
time. Specifically, we propose a small target aware detector (STAD), which
introduces saliency maps to capture HSI features closer to human visual
perception. STAD not only extracts more anomalous representations, but also
reduces the impact of low-confidence regions through a proposed small target
filter (STF). Furthermore, considering the possibility of HAD algorithms being
applied to edge devices, we propose a full connected network to convolutional
network knowledge distillation strategy. It can learn the spectral and spatial
features of the HSI while lightening the network. We train the network on the
HAD100 training set and validate the proposed method on the HAD100 test set.
Our method provides a new solution space for HAD that is closer to human visual
perception with high confidence. Sufficient experiments on real HSI with
multiple method comparisons demonstrate the excellent performance and unique
potential of the proposed method. The code is available at
https://github.com/majitao-xd/STAD-HAD.
","Jitao Ma, Weiying Xie, Yunsong Li",Yunsong Li,2024-01-02T08:28:38Z
"Quick unsupervised hyperspectral dimensionality reduction for earth
  observation: a comparison","  Dimensionality reduction can be applied to hyperspectral images so that the
most useful data can be extracted and processed more quickly. This is critical
in any situation in which data volume exceeds the capacity of the computational
resources, particularly in the case of remote sensing platforms (e.g., drones,
satellites), but also in the case of multi-year datasets. Moreover, the
computational strategies of unsupervised dimensionality reduction often provide
the basis for more complicated supervised techniques. Seven unsupervised
dimensionality reduction algorithms are tested on hyperspectral data from the
HYPSO-1 earth observation satellite. Each particular algorithm is chosen to be
representative of a broader collection. The experiments probe the computational
complexity, reconstruction accuracy, signal clarity, sensitivity to artifacts,
and effects on target detection and classification of the different algorithms.
No algorithm consistently outperformed the others across all tests, but some
general trends regarding the characteristics of the algorithms did emerge. With
half a million pixels, computational time requirements of the methods varied by
5 orders of magnitude, and the reconstruction error varied by about 3 orders of
magnitude. A relationship between mutual information and artifact
susceptibility was suggested by the tests. The relative performance of the
algorithms differed significantly between the target detection and
classification tests. Overall, these experiments both show the power of
dimensionality reduction and give guidance regarding how to evaluate a
technique prior to incorporating it into a processing pipeline.
","Daniela Lupu, Joseph L. Garrett, Tor Arne Johansen, Milica Orlandic, Ion Necoara",Ion Necoara,2024-02-26T13:43:43Z
"SSF-Net: Spatial-Spectral Fusion Network with Spectral Angle Awareness
  for Hyperspectral Object Tracking","  Hyperspectral video (HSV) offers valuable spatial, spectral, and temporal
information simultaneously, making it highly suitable for handling challenges
such as background clutter and visual similarity in object tracking. However,
existing methods primarily focus on band regrouping and rely on RGB trackers
for feature extraction, resulting in limited exploration of spectral
information and difficulties in achieving complementary representations of
object features. In this paper, a spatial-spectral fusion network with spectral
angle awareness (SST-Net) is proposed for hyperspectral (HS) object tracking.
Firstly, to address the issue of insufficient spectral feature extraction in
existing networks, a spatial-spectral feature backbone ($S^2$FB) is designed.
With the spatial and spectral extraction branch, a joint representation of
texture and spectrum is obtained. Secondly, a spectral attention fusion module
(SAFM) is presented to capture the intra- and inter-modality correlation to
obtain the fused features from the HS and RGB modalities. It can incorporate
the visual information into the HS spectral context to form a robust
representation. Thirdly, to ensure a more accurate response of the tracker to
the object position, a spectral angle awareness module (SAAM) investigates the
region-level spectral similarity between the template and search images during
the prediction stage. Furthermore, we develop a novel spectral angle awareness
loss (SAAL) to offer guidance for the SAAM based on similar regions. Finally,
to obtain the robust tracking results, a weighted prediction method is
considered to combine the HS and RGB predicted motions of objects to leverage
the strengths of each modality. Extensive experiments on the HOTC dataset
demonstrate the effectiveness of the proposed SSF-Net, compared with
state-of-the-art trackers.
","Hanzheng Wang, Wei Li, Xiang-Gen Xia, Qian Du, Jing Tian",Jing Tian,2024-03-09T09:37:13Z
"Deep Learning for In-Orbit Cloud Segmentation and Classification in
  Hyperspectral Satellite Data","  This article explores the latest Convolutional Neural Networks (CNNs) for
cloud detection aboard hyperspectral satellites. The performance of the latest
1D CNN (1D-Justo-LiuNet) and two recent 2D CNNs (nnU-net and
2D-Justo-UNet-Simple) for cloud segmentation and classification is assessed.
Evaluation criteria include precision and computational efficiency for in-orbit
deployment. Experiments utilize NASA's EO-1 Hyperion data, with varying
spectral channel numbers after Principal Component Analysis. Results indicate
that 1D-Justo-LiuNet achieves the highest accuracy, outperforming 2D CNNs,
while maintaining compactness with larger spectral channel sets, albeit with
increased inference times. However, the performance of 1D CNN degrades with
significant channel reduction. In this context, the 2D-Justo-UNet-Simple offers
the best balance for in-orbit deployment, considering precision, memory, and
time costs. While nnU-net is suitable for on-ground processing, deployment of
lightweight 1D-Justo-LiuNet is recommended for high-precision applications.
Alternatively, lightweight 2D-Justo-UNet-Simple is recommended for balanced
costs between timing and precision in orbit.
","Daniel Kovac, Jan Mucha, Jon Alvarez Justo, Jiri Mekyska, Zoltan Galaz, Krystof Novotny, Radoslav Pitonak, Jan Knezik, Jonas Herec, Tor Arne Johansen",Tor Arne Johansen,2024-03-13T16:58:37Z
"Efficient and Accurate Hyperspectral Image Demosaicing with Neural
  Network Architectures","  Neural network architectures for image demosaicing have been become more and
more complex. This results in long training periods of such deep networks and
the size of the networks is huge. These two factors prevent practical
implementation and usage of the networks in real-time platforms, which
generally only have limited resources. This study investigates the
effectiveness of neural network architectures in hyperspectral image
demosaicing. We introduce a range of network models and modifications, and
compare them with classical interpolation methods and existing reference
network approaches. The aim is to identify robust and efficient performing
network architectures. Our evaluation is conducted on two datasets,
""SimpleData"" and ""SimRealData,"" representing different degrees of realism in
multispectral filter array (MSFA) data. The results indicate that our networks
outperform or match reference models in both datasets demonstrating exceptional
performance. Notably, our approach focuses on achieving correct spectral
reconstruction rather than just visual appeal, and this emphasis is supported
by quantitative and qualitative assessments. Furthermore, our findings suggest
that efficient demosaicing solutions, which require fewer parameters, are
essential for practical applications. This research contributes valuable
insights into hyperspectral imaging and its potential applications in various
fields, including medical imaging.
","Eric L. Wisotzky, Lara Wallburg, Anna Hilsmann, Peter Eisert, Thomas Wittenberg, Stephan Göb",Stephan Göb,2023-12-21T08:02:49Z
"Spatio-Spectral Structure Tensor Total Variation for Hyperspectral Image
  Denoising and Destriping","  This paper proposes a novel regularization method, named Spatio-Spectral
Structure Tensor Total Variation (S3TTV), for denoising and destriping of
hyperspectral (HS) images. HS images are inevitably contaminated by various
types of noise, during acquisition process, due to the measurement equipment
and the environment. For HS image denoising and destriping tasks,
Spatio-Spectral Total Variation (SSTV), defined using second-order
spatio-spectral differences, is widely known as a powerful regularization
approach that models the underlying spatio-spectral properties. However, since
SSTV refers only to adjacent pixels/bands, semi-local spatial structures are
not preserved during denoising process. To address this problem, we newly
design S3TTV, defined by the sum of the nuclear norms of matrices consisting of
second-order spatio-spectral differences in small spectral blocks (we call
these matrices as spatio-spectral structure tensors). The proposed
regularization method simultaneously models the spatial piecewise-smoothness,
the spatial similarity between adjacent bands, and the spectral correlation
across all bands in small spectral blocks, leading to effective noise removal
while preserving the semi-local spatial structures. Furthermore, we formulate
the HS image denoising and destriping problem as a convex optimization problem
involving S3TTV and develop an algorithm based on a preconditioned primal-dual
splitting method to solve this problem efficiently. Finally, we demonstrate the
effectiveness of S3TTV by comparing it with existing methods, including
state-of-the-art ones through denoising and destriping experiments.
","Shingo Takemoto, Shunsuke Ono",Shunsuke Ono,2024-04-04T09:22:18Z
"3DSS-Mamba: 3D-Spectral-Spatial Mamba for Hyperspectral Image
  Classification","  Hyperspectral image (HSI) classification constitutes the fundamental research
in remote sensing fields. Convolutional Neural Networks (CNNs) and Transformers
have demonstrated impressive capability in capturing spectral-spatial
contextual dependencies. However, these architectures suffer from limited
receptive fields and quadratic computational complexity, respectively.
Fortunately, recent Mamba architectures built upon the State Space Model
integrate the advantages of long-range sequence modeling and linear
computational efficiency, exhibiting substantial potential in low-dimensional
scenarios. Motivated by this, we propose a novel 3D-Spectral-Spatial Mamba
(3DSS-Mamba) framework for HSI classification, allowing for global
spectral-spatial relationship modeling with greater computational efficiency.
Technically, a spectral-spatial token generation (SSTG) module is designed to
convert the HSI cube into a set of 3D spectral-spatial tokens. To overcome the
limitations of traditional Mamba, which is confined to modeling causal
sequences and inadaptable to high-dimensional scenarios, a 3D-Spectral-Spatial
Selective Scanning (3DSS) mechanism is introduced, which performs pixel-wise
selective scanning on 3D hyperspectral tokens along the spectral and spatial
dimensions. Five scanning routes are constructed to investigate the impact of
dimension prioritization. The 3DSS scanning mechanism combined with
conventional mapping operations forms the 3D-spectral-spatial mamba block
(3DMB), enabling the extraction of global spectral-spatial semantic
representations. Experimental results and analysis demonstrate that the
proposed method outperforms the state-of-the-art methods on HSI classification
benchmarks.
","Yan He, Bing Tu, Bo Liu, Jun Li, Antonio Plaza",Antonio Plaza,2024-05-21T04:10:26Z
"Hyperspectral Pansharpening: Critical Review, Tools and Future
  Perspectives","  Hyperspectral pansharpening consists of fusing a high-resolution panchromatic
band and a low-resolution hyperspectral image to obtain a new image with high
resolution in both the spatial and spectral domains. These remote sensing
products are valuable for a wide range of applications, driving ever growing
research efforts. Nonetheless, results still do not meet application demands.
In part, this comes from the technical complexity of the task: compared to
multispectral pansharpening, many more bands are involved, in a spectral range
only partially covered by the panchromatic component and with overwhelming
noise. However, another major limiting factor is the absence of a comprehensive
framework for the rapid development and accurate evaluation of new methods.
This paper attempts to address this issue.
  We started by designing a dataset large and diverse enough to allow reliable
training (for data-driven methods) and testing of new methods. Then, we
selected a set of state-of-the-art methods, following different approaches,
characterized by promising performance, and reimplemented them in a single
PyTorch framework. Finally, we carried out a critical comparative analysis of
all methods, using the most accredited quality indicators. The analysis
highlights the main limitations of current solutions in terms of
spectral/spatial quality and computational efficiency, and suggests promising
research directions.
  To ensure full reproducibility of the results and support future research,
the framework (including codes, evaluation procedures and links to the dataset)
is shared on https://github.com/matciotola/hyperspectral_pansharpening_toolbox,
as a single Python-based reference benchmark toolbox.
","Matteo Ciotola, Giuseppe Guarino, Gemine Vivone, Giovanni Poggi, Jocelyn Chanussot, Antonio Plaza, Giuseppe Scarpa",Giuseppe Scarpa,2024-07-01T15:10:50Z
"Mid-Infrared Hyperspectral Microscopy with Broadband 1-GHz Dual
  Frequency Combs","  Mid-infrared microscopy is an important tool for biological analyses,
allowing a direct probe of molecular bonds in their low energy landscape. In
addition to the label-free extraction of spectroscopic information, the
application of broadband sources can provide a third dimension of chemical
specificity. However, to enable widespread deployment, mid-infrared microscopy
platforms need to be compact and robust while offering high speed, broad
bandwidth and high signal-to-noise ratio (SNR). In this study, we
experimentally showcase the integration of a broadband, high-repetition-rate
dual-comb spectrometer (DCS) in the mid-infrared range with a scanning
microscope. We employ a set of 1-GHz mid-infrared frequency combs,
demonstrating their capability for high-speed and broadband hyperspectral
imaging of polymers and ovarian tissue. The system covers 1000
$\mathrm{cm^{-1}}$ at $\mathrm{\nu_c=2941 \; cm^{-1}}$ with 12.86 kHz spectra
acquisition rate and 5 $\mathrm{\mu m}$ spatial resolution. Taken together, our
experiments and analysis elucidate the trade-off between bandwidth and speed in
DCS as it relates to microscopy. This provides a roadmap for the future
advancement and application of high-repetition-rate DCS hyperspectral imaging.
","Peter Chang, Ragib Ishrak, Nazanin Hoghooghi, Scott Egbert, Daniel Lesko, Stephanie Swartz, Jens Biegert, Gregory B. Rieker, Rohith Reddy, Scott A. Diddams",Scott A. Diddams,2024-07-02T06:11:32Z
"Analytical Aberration Theory for Plane-symmetric Optical Systems and its
  Application in the Analysis of Distortion in Freeform Spectrometers","  The recent history of optical design saw a progressive trend of also
designing without rotational symmetry, especially spectrometers due to the use
of reflective and diffractive elements in their designs. A freeform
hyperspectral imager design in CubeSat format is presented in this work, which
has large deviation from rotational symmetry. Based on a generalization of
paraxial optics and wavefront aberration expansion applicable to
plane-symmetric systems, in this dissertation we derived the aberration
coefficients of aberration types in the third group for plane-symmetric systems
that include the second order effects of the light beam footprint on optical
surfaces. We also expanded the theory to include the contributions from
freeform surfaces and induced aberrations. For the application to
plane-symmetric spectrometers, the aberration coefficients related to
distortion are of special interest. Comparisons between the distortion results
predicted by the aberration coefficients and simulated from real raytracing
show good consistency in example systems of a Dyson spectrometer and freeform
spectrometers that share the three-mirror double-pass structure, which is
similar to the spectrometer component of the hyperspectral imager we designed.
In comparison to real raytracing, results of the theory applied to the
spectrometer of the hyperspectral imager we designed show the limits of the
theory that is limited to the third group of aberrations, while in this design,
high-order groups also significantly contribute. In all cases, the analytical
formulae of the aberration coefficients contain the information on surface
contributions, induced aberrations, and the relation between the aberration
behavior and system parameters, which provide valuable insights in the analysis
of plane-symmetric systems.
",Yuxuan Liu,Yuxuan Liu,2024-07-08T23:22:51Z
